0.0	0.00
65.1	0.00
73.0	0.00
83.0	0.00
88.9	0.00
89.2	0.00
95.1	0.00
96.1	0.00
102.0	0.00
110.9	0.00
112.8	0.00
114.2	0.00
115.9	0.00
118.0	0.00
120.2	0.00
121.1	0.00
121.1	0.00
124.0	0.00
125.2	0.00
125.9	0.00
129.9	0.00
133.0	0.00
138.0	0.00
145.0	0.00
148.1	0.00
149.0	0.01
150.0	0.01
150.0	0.01
153.1	0.01
154.0	0.01
156.9	0.01
158.1	0.01
160.9	0.01
162.8	0.01
162.8	0.01
163.1	0.01
163.1	0.01
164.0	0.01
164.0	0.01
165.9	0.01
166.9	0.01
168.1	0.01
168.1	0.01
169.0	0.01
169.0	0.01
170.0	0.01
171.2	0.01
175.0	0.01
176.0	0.01
176.0	0.01
180.0	0.01
180.0	0.01
180.0	0.01
181.0	0.01
181.9	0.01
183.1	0.01
185.0	0.01
186.0	0.01
186.0	0.01
186.0	0.01
187.9	0.01
190.0	0.01
192.2	0.01
192.9	0.01
192.9	0.01
193.1	0.01
193.8	0.01
194.1	0.01
195.0	0.01
195.0	0.01
196.0	0.01
197.2	0.01
197.9	0.01
197.9	0.01
197.9	0.02
198.8	0.02
200.0	0.02
201.0	0.02
201.0	0.02
201.9	0.02
205.0	0.02
205.0	0.02
208.1	0.02
209.1	0.02
210.0	0.02
212.0	0.02
216.0	0.02
218.9	0.02
223.2	0.02
224.1	0.02
228.9	0.02
232.0	0.02
232.9	0.02
235.1	0.02
237.0	0.02
237.9	0.02
243.9	0.02
243.9	0.02
244.1	0.02
244.9	0.02
249.1	0.02
253.9	0.02
257.0	0.02
258.0	0.02
259.9	0.02
260.1	0.02
260.1	0.02
263.0	0.02
266.1	0.02
268.0	0.02
271.8	0.02
273.0	0.02
277.0	0.02
278.0	0.02
278.0	0.02
278.9	0.02
278.9	0.02
284.0	0.02
286.1	0.02
286.8	0.02
293.0	0.02
294.0	0.02
294.0	0.02
295.2	0.02
295.2	0.03
298.0	0.03
298.0	0.03
