Load,Avg. NS,Avg. Ticks
0,57318,137232
5,57275,137164
10,57143,136858
15,57513,137700
20,57514,137695
25,55355,132585
30,57371,137433
35,57399,137447
40,57349,137319
45,57293,137234
50,327454,784033
55,56689,135752
60,56864,136158
65,56161,134500
70,54536,130596
75,131974,316008
80,54183,129766
85,53886,129054
90,451309,1080530
95,810688,1940900
100,11991392,28709635
